"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"1","Dolichandra unguis-cati","Dolichandra","","unguis-cati",NA,NA,"","","kew-320930",TRUE,"1.1","Accepted","Bignoniaceae","Dolichandra","","unguis-cati","","","(L.) L.G.Lohmann","kew-320930","Accepted",FALSE,FALSE,FALSE,2018-04-02
"2","Heliopsis buphthalmoides","Heliopsis","","buphthalmoides",NA,NA,"","","gcc-7624",TRUE,"1.1","Accepted","Compositae","Heliopsis","","buphthalmoides","","","(Jacq.) Dunal","gcc-7624","Accepted",FALSE,FALSE,FALSE,2018-04-02
"3","Pluchea baccharis","Pluchea","","baccharis",NA,NA,"","","gcc-137413",TRUE,"1.1","Accepted","Compositae","Pluchea","","baccharis","","","(Mill.) Pruski","gcc-137413","Accepted",FALSE,FALSE,FALSE,2018-04-02
"4","Verbesina heterophylla","Verbesina","","heterophylla",NA,NA,"","","gcc-105053",TRUE,"1.1","Accepted","Compositae","Verbesina","","heterophylla","","","A.Gray","gcc-105053","Accepted",FALSE,FALSE,FALSE,2018-04-02
"5","Zanthoxylum clava-herculis","Zanthoxylum","","clava-herculis",NA,NA,"","","tro-28100530",TRUE,"1.1","Accepted","Rutaceae","Zanthoxylum","","clava-herculis","","","L.","tro-28100530","Accepted",FALSE,FALSE,FALSE,2018-04-02
