Polygonaceae_Eriogonum_tomentosum
Apiaceae_Eryngium_aromaticum
Asteraceae_Balduina_angustifolia
Polygonaceae_Polygonella_gracilis
Poaceae_Gymnopogon_ambiguus
Poaceae_Digitaria_filiformis
Poaceae_Sporobolus_junceus
Amaranthaceae_Froelichia_floridana
Asteraceae_Pityopsis_graminifolia
Fabaceae_Chamaecrista_nictitans
Asteraceae_Ageratina_jucunda
Poaceae_Sorghastrum_secundum
Asteraceae_Eupatorium_compositifolium
Poaceae_Aristida_condensata
Fabaceae_Rhynchosia_reniformis
Poaceae_Aristida_mohrii
Cistaceae_Helianthemum_corymbosum
Poaceae_Aristida_stricta
Poaceae_Aristida_gyrans
Cyperaceae_Bulbostylis_warei
Poaceae_Aristida_purpurascens
Poaceae_Schizachyrium_scoparium
Asteraceae_Symphyotrichum_concolor
Asteraceae_Liatris_tenuifolia
Asteraceae_Solidago_odora
Convolvulaceae_Stylisma_patens
Poaceae_Andropogon_tracyi
Poaceae_Triplasis_americana
Euphorbiaceae_Croton_argyranthemus
Euphorbiaceae_Stillingia_sylvatica
Poaceae_Paspalum_setaceum
Poaceae_Andropogon_gyrans
Rubiaceae_Diodella_teres
Poaceae_Digitaria_longiflora
Euphorbiaceae_Tragia_urens
Poaceae_Andropogon_brachystachyus
Asteraceae_Pseudognaphalium_obtusifolium
Commelinaceae_Commelina_erecta
Ebenaceae_Diospyros_virginiana
Pinaceae_Pinus_palustris
Asteraceae_Erigeron_canadensis
Asteraceae_Pluchea_baccharis
Poaceae_Axonopus_furcatus
Rubiaceae_Oldenlandia_uniflora
Asteraceae_Pterocaulon_pycnostachyum
Aquifoliaceae_Ilex_glabra
Poaceae_Cenchrus_gracillimus
Xyridaceae_Xyris_ambigua
Lycopodiaceae_Lycopodiella_appressa
Cyperaceae_Rhynchospora_scirpoides
Poaceae_Leersia_hexandra
Poaceae_Coelorachis_tuberculosa
Hypericaceae_Hypericum_tetrapetalum
Hypericaceae_Hypericum_brachyphyllum
Cyperaceae_Scleria_muehlenbergii
Poaceae_Panicum_verrucosum
Caryophyllaceae_Paronychia_patula
Plantaginaceae_Scoparia_dulcis
Asteraceae_Euthamia_caroliniana
Bromeliaceae_Tillandsia_recurvata
Bromeliaceae_Tillandsia_usneoides
Ericaceae_Ceratiola_ericoides
Fagaceae_Quercus_virginiana
Fagaceae_Quercus_hemisphaerica
Hypericaceae_Hypericum_hypericoides
Alismataceae_Sagittaria_lancifolia
Asteraceae_Symphyotrichum_elliottii
Poaceae_Saccharum_giganteum
Lamiaceae_Lycopus_rubellus
Asteraceae_Erechtites_hieraciifolius
Tetrachondraceae_Polypremum_procumbens
Campanulaceae_Wahlenbergia_marginata
Cyperaceae_Eleocharis_baldwinii
Juncaceae_Juncus_repens
Osmundaceae_Osmundastrum_cinnamomeum
Poaceae_Panicum_anceps
Cupressaceae_Taxodium_distichum_var._imbricatum
Fagaceae_Quercus_nigra
Aquifoliaceae_Ilex_cassine
Lauraceae_Persea_palustris
Rosaceae_Aronia_arbutifolia
Hypericaceae_Triadenum_virginicum
Asteraceae_Baccharis_halimifolia
Ericaceae_Lyonia_lucida
Blechnaceae_Woodwardia_virginica
Myricaceae_Morella_cerifera
Cornaceae_Nyssa_sylvatica
Smilacaceae_Smilax_laurifolia
Magnoliaceae_Magnolia_virginiana
Vitaceae_Vitis_rotundifolia
Asteraceae_Bidens_mitis
Rosaceae_Rubus_argutus
Haemodoraceae_Lachnanthes_caroliniana
Arecaceae_Sabal_palmetto
Ericaceae_Gaylussacia_nana
Hypericaceae_Hypericum_fasciculatum
Poaceae_Andropogon_glomeratus
Rubiaceae_Mitchella_repens
Bromeliaceae_Tillandsia_bartramii
Poaceae_Sporobolus_indicus
Poaceae_Anthaenantia_villosa
Pinaceae_Pinus_clausa
Ericaceae_Vaccinium_stamineum
Fagaceae_Quercus_geminata
Poaceae_Sporobolus_diandrus
Poaceae_Setaria_parviflora
Plantaginaceae_Gratiola_hispida
Cyperaceae_Cyperus_retrorsus
Rubiaceae_Oldenlandia_corymbosa
Polypodiaceae_Phlebodium_aureum
Cyperaceae_Scleria_triglomerata
Ericaceae_Vaccinium_arboreum
Poaceae_Andropogon_virginicus
Euphorbiaceae_Croton_michauxii
Plantaginaceae_Penstemon_multiflorus
Lamiaceae_Callicarpa_americana
Polypodiaceae_Pleopeltis_polypodioides
Fabaceae_Desmodium_triflorum
Rubiaceae_Richardia_brasiliensis
Poaceae_Sporobolus_clandestinus
Cyperaceae_Cyperus_plukenetii
Poaceae_Panicum_oligosanthes
Blechnaceae_Woodwardia_areolata
Lentibulariaceae_Utricularia_gibba
Asteraceae_Croptilon_divaricatum
Onagraceae_Ludwigia_leptocarpa
Pontederiaceae_Pontederia_cordata
Lythraceae_Decodon_verticillatus
Fabaceae_Senna_obtusifolia
Poaceae_Sacciolepis_striata
Altingiaceae_Liquidambar_styraciflua
Solanaceae_Solanum_chenopodioides
Caryophyllaceae_Paronychia_baldwinii
Asteraceae_Ambrosia_artemisiifolia
Onagraceae_Ludwigia_palustris
Juncaceae_Juncus_dichotomus
Poaceae_Oplismenus_hirtellus
Phyllanthaceae_Phyllanthus_urinaria
Euphorbiaceae_Acalypha_gracilens
Rubiaceae_Galium_bermudense
Commelinaceae_Murdannia_nudiflora
Euphorbiaceae_Croton_glandulosus
Saururaceae_Saururus_cernuus
Cyperaceae_Scirpus_cyperinus
Smilacaceae_Smilax_glauca
Rutaceae_Citrus_aurantium
Juncaceae_Juncus_effusus
Asteraceae_Symphyotrichum_dumosum
Primulaceae_Ardisia_crenata
Lauraceae_Cinnamomum_camphora
Magnoliaceae_Magnolia_grandiflora
Sapindaceae_Acer_rubrum
Arecaceae_Serenoa_repens
Annonaceae_Asimina_parviflora
Lamiaceae_Trichostema_dichotomum
Phyllanthaceae_Phyllanthus_tenellus
Malvaceae_Sida_rhombifolia
Poaceae_Dactyloctenium_aegyptium
Sapotaceae_Sideroxylon_tenax
Cyperaceae_Cyperus_tetragonus
Oxalidaceae_Oxalis_corniculata
Cyperaceae_Cyperus_croceus
Rubiaceae_Houstonia_procumbens
